Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric 2 (original),check of Rubric 2 score,NEW Interdiscplinary Rubric (1),Citations,date for cite count,Abstract,Notes
grant.3100975,909410,"Spatio-temporal occurrence modeling of Highly Pathogenic Avian Influenza subtype H5N1: A case study in the Red River Delta, Vietnam",2013,Tran et al. ,"International Journal of Health Geographies
",3,,,16,,,
grant.3100975,909410,Classifying and Mapping the Urban Transition in Vietnam,2014,Saksena et al. ,Applied Geography,2,,,44,,,
grant.3100975,909410,Mapping Urban Transitions Using Multi-Temporal Landsat and Dmsp-Ols Night-Time Lights Imagery of the Red River Delta in Vietnam,2014,Castrence et al. ,Land,3,,,34,,,
grant.3100975,909410,Monitoring peri-urbanization in the greater Ho Chi Minh city metropolitan area,2014,Kontgis et al. ,Applied Geography,2,,,73,,,
grant.3077967,709735,Detecting human interferences to low flows through base flow recession analysis,2009,Wang and Cai,Water Resources Research,2,,,57,,,More than 10 citations - randomly selected 10
grant.3077967,709735,Social science in a water observing system,2009,Braden et al. ,Water Resources Research,1,,,63,,,More than 10 citations - randomly selected 10
grant.3077967,709735,On the Spatial Nature of the Groundwater Pumping Externality,2010,Brozovic et al. ,Resource and Energy Economics,3,,,139,,,More than 10 citations - randomly selected 10
grant.3077967,709735,Water Conflict and Resolution,2009,Gasteyer,A Matter of Spirit: Journal of the Intercommunity Justice and Peace Center,2,,,cant find,,,More than 10 citations - randomly selected 10
grant.3077967,709735,Comparative study of climate and human impacts on seasonal baseflow in urban and agricultural watersheds,2010,Wang and Cai,Geophysical Research Letters,1,,,52,,,More than 10 citations - randomly selected 10
grant.3077967,709735,A decentralized optimization algorithm for multiagent system-based watershed management,2009,"Yang et al. 
",Water Resources Research,1,,,95,,,More than 10 citations - randomly selected 10
grant.3077967,709735,Assessing inter-annual variability of ET at the catchment scale using satellite-based ET datasets,2011,Cheng et al. ,Water Resources Research,3,,,cant find,,,More than 10 citations - randomly selected 10
grant.3077967,709735,Factors determining the economic value of groundwater,2012,Qureshi et al. ,Hydrogeology Journal,1,,,22,,,More than 10 citations - randomly selected 10
grant.3077967,709735,Analytical hydrologic models and the design of policy instruments for groundwater quality management,2012,Kuwayama et al. ,Hydrogeology Journal,1,,,6,,,More than 10 citations - randomly selected 10
grant.3077967,709735,The regulation of a spatially heterogeneous externality: tradable groundwater permits to protect instream flows,2013,Kuwayama and Brozovic,Journal of Environmental Economics and Management,1,,,66,,,More than 10 citations - randomly selected 10
grant.2995426,709717,Science and government - Revolutionizing China's environmental protection,2008,Liu and Diamond,Science,2,,,204,,,More than 10 citations - randomly selected 10
grant.2995426,709717,Effects of fuelwood collection and timber harvesting on giant panda habitat use,2008,Bearer et al. ,Biological Conservation ,1,,,91,,,More than 10 citations - randomly selected 10
grant.2995426,709717,Complexity of coupled human and natural systems,2007,Liu et al. ,Science,1,,,2644,,,More than 10 citations - randomly selected 10
grant.2995426,709717,Environmental impacts of divorce,2007,"Yu and Liu
",Proceedings of the National Academy of Sciences,1,,,70,,,More than 10 citations - randomly selected 10
grant.2995426,709717,Distribution of Economic Benefits from Ecotourism: A Case Study of Wolong Nature Reserve for Giant Pandas in China,2008,He et al. ,Environmental Management,1,,,157,,,More than 10 citations - randomly selected 10
grant.2995426,709717,Spatial and Temporal Patterns of Fuelwood Collection,2009,"He et al. 
",Landscape and Urban Planning,2,,,45,,,More than 10 citations - randomly selected 10
grant.2995426,709717,Linking Social Norms to Efficient Conservation Investment in Payments for Ecosystem Services,2009,Chen et al. ,Proceedings of the National Academy of Sciences,1,,,205,,,More than 10 citations - randomly selected 10
grant.2995426,709717,"2010 China, India, and the Environment",2010,Bawa et al. ,Science,2,,,97,,,More than 10 citations - randomly selected 10
grant.2995426,709717,Linking Plot-level Biodiversity Measurements with Human Influences over Multiple Spatial Scales in the Tropics: A Conceptual Framework,2010,DeFries et al. ,Frontiers in Ecology and the Environment,1,,,6,,,More than 10 citations - randomly selected 10
grant.2995426,709717,"Long-Term Effects of Family Planning and Other Determinants of Fertility on Population and Environment: Agent-Based Modeling Evidence from Wolong Nature Reserve, China.",2010,An and Liu,Population and Environment,1,,,28,,,More than 10 citations - randomly selected 10
grant.3100984,909449,A fisheries play in an ecosystem theater: challenges of managing ecological and social drivers of marine fisheries at nested spatial scales,2010,Steneck and Wilson,BULLETIN OF MARINE SCIENCE,1,,,37,,,More than 10 citations - randomly selected 10
grant.3100984,909449,The spatial dimensions of fisheries: putting it all in place,2010,Lorenzen et al. ,BULLETIN OF MARINE SCIENCE,3,,,56,,,More than 10 citations - randomly selected 10
grant.3100984,909449,"Factions, Models, and Resource Regulation: Prospects for Lowering the Maine Lobster Trap Limit",2010,Acheson and Acheson ,Human Ecology,2,,,9,,,More than 10 citations - randomly selected 10
grant.3100984,909449,"The Evolution of the Maine Lobster V-Notch program Practice: Cooperation in a Prisoner,",2010,Acheson and Gardner,Ecology and Society,3,,,34,,,More than 10 citations - randomly selected 10
grant.3100984,909449,Voluntary Participation in Regional Fishery Management Meetings,2010,Al-Humaidi et al. ,Ecology and Society,3,,,cant find,,,More than 10 citations - randomly selected 10
grant.3100984,909449,Spatial Structuring of the Fish Community in Association Variables in the Coastal Gulf of Maine,2011,Zhang et al. ,Journal of the North Atlantic Fisheries Science,3,,,4,,,More than 10 citations - randomly selected 10
grant.3100984,909449,Developing and Evaluating Harvest Control Rules with Different Biological Reference Points for the American Lobster Fishery in the Gulf of Maine,2011,Zhang et al. ,ICES Journal of Marine Science,1,,,12,,,More than 10 citations - randomly selected 10
grant.3100984,909449,Impacts of population and fishery spatial structures on fishery stock assessment,2013,Guan et al. ,Canadian Journal of Fisheries and Aquatic Sciences,1,,,61,,,More than 10 citations - randomly selected 10
grant.3100984,909449,Multivariate dissemination of species relationships for use in marine spatial planning,2013,Jordaan et al. ,Canadian Journal of Fisheries and Aquatic Sciences,2,,,2,,,More than 10 citations - randomly selected 10
grant.3100984,909449,American lobster dynamics in a brave new ocean,2013,Steneck and Wahle,Canadian Journal of Fisheries and Aquatic Sciences,3,,,57,,,More than 10 citations - randomly selected 10
grant.3101006,909515,"Accessible integration of agriculture, groundwater, and economic models using the Open Modeling Interface (OpenMI): methodology and initial results",2010,Bulatewicz et al. ,Hydrology and Earth System Sciences,1,,,57,,,More than 10 citations - randomly selected 10
grant.3101006,909515,"From precipitation to groundwater baseflow in a native prairie ecosystem: a regional study of the Konza LTER in the Flint Hills of Kansas, USA",2011,Steward et al. ,Hydrology and Earth System Sciences,3,,,13,,,More than 10 citations - randomly selected 10
grant.3101006,909515,Groundwater Pumping by Heterogeneous Users,2012,Saak and Peterson ,Hydrogeology Journal,2,,,10,,,More than 10 citations - randomly selected 10
grant.3101006,909515,The Simple Script Wrapper for OpenMI: Enabling interdisciplinary modeling studies,2013,Bulatewicz et al. ,Environmental Modelling and Software,1,,,34,,,More than 10 citations - randomly selected 10
grant.3101006,909515,Groundwater surface water interactions and the role of phreatophytes in identifying recharge zones,2012,Ahring and Steward,Hydrology and Earth System Sciences,3,,,19,,,More than 10 citations - randomly selected 10
grant.3101006,909515,A distributed data component for the Open Modeling Interface,2014,Bulatewicz et al. ,Environmental Modelling and Software,3,,,10,,,More than 10 citations - randomly selected 10
grant.3101006,909515,"Explore the Interactions between Human-induced Groundwater Salt 
Intrusion and Salt Cedar Invasion in the Upper Arkansas River Corridor 
in Kansas, U.S.",2012,Yang and Steward,Procedia Environmental Sciences,1,,,1,,,More than 10 citations - randomly selected 10
grant.3101006,909515,"Application of the conceptual groundwater data model in the Upper Arkansas River corridor, western Kansas",2012,"Yang
",Journal of Earth Science,3,,,3,,,More than 10 citations - randomly selected 10
grant.3101006,909515,Reply to Butler et al.: A Sound Hydrologic Foundation for Interdisciplinary Studies of the High Plains Aquifer,2014,Steward et al. ,Proceedings of the National Academy of Sciences,1,,,0,,,More than 10 citations - randomly selected 10
grant.3101006,909515,The Analytic Element Method for rectangular gridded domains and application to the Ogallala Aquifer,2013,Steward and Allen,Advances in Water Resources,3,,,10,,,More than 10 citations - randomly selected 10
grant.3143104,1232319,An introduction to the Comparative Wests,2013,Blue et al. ,Occasion: Interdisciplinary Studies in the Humanities,3,,,0,,,
grant.3143104,1232319,"Historical and cultural fires, Tribal management and research issues in Northern California: trails, fires and tribulations",2013,Lake,Occasion: Interdisciplinary Studies in the Humanities,1,,,10,,,
grant.3143104,1232319,Finding fire: a global perspective on traditional burning in California,2013,Codding and Bird,California Archaeology,1,,,4,,,
grant.3143104,1232319,"Making space for North Fork Mono (Nium) narrative: land, learning, parataxis, policy, and water in Central California.",2013,Aldern ,Occasion: Interdisciplinary Studies in the Humanities,1,,,1,,,
grant.3143104,1232319,Protect Your Land: Using Agroforestry Techniques and Tribal Values to Mitigate Wildfire Danger,2013,"Rossier and Lake
",Inside Agroforestry,1,,,cant find,,,
grant.3100938,909281,Distribution and community-level effects of the Chinese mystery snail (Bellamya chinensis) in northern Wisconsin lakes.,2010,Solomon et al. ,Biological Invasions,3,,,55,,,
grant.3100938,909281,Catch-and-release rates of sport fishes in northern Wisconsin from an angler diary survey,2013,Gaeta et al. ,North American Journal of FIsheries Management,2,,,33,,,
grant.3100938,909281,Disentangling Preferences and Expectations in Stated Preference Analysis with Respondent Uncertainty: The Case of Invasive Species Prevention,2012,Provencher et al. ,Economics and Management,2,,,27,,,
grant.3100938,909281,Boater perceptions of environmental issues affecting lakes in northern Wisconsin,2015,Beardmore,Journal of American Water Resources Association,1,,,14,,,
grant.3100938,909281,Commonly rare and rarely common: comparing population abundance of invasive and native species,2013,Hansen et al. ,PLoS One,3,,,49,,,
grant.3100938,909281,Using an Intervention Framework to Value Salient Ecosystem Services in a Stated Preference Experiment,2015,Lewis et al. ,Ecological Economics,1,,,4,,,
grant.3100938,909281,Representing calcification in distribution models for aquatic invasive species: Surrogates perform as well as CaCO3 saturation state,2015,Latzka et al. ,Hydrobiologia,3,,,6,,"Modeling of invasive species’ potential distributions is critical for preventing new invasions. Distribution models use environmental characteristics of observed distributions to determine the suite of conditions that allows invasion. Some variables are directly related to species’ biological needs, while others are surrogates that do not directly influence distributions. For aquatic invasive species (AIS) with calcified shells and exoskeletons, one common limiting factor is the chemical restriction on forming calcium carbonate (CaCO3), which is usually represented by conductivity or dissolved calcium. We predicted that conductivity and calcium would not serve as accurate surrogates for CaCO3 saturation state, which is more directly linked to calcification potential. To test this prediction, we fit classification trees to field surveys of northern Wisconsin lakes for three calcifying AIS—rusty crayfish (Orconectes rusticus), banded mystery snail (Viviparus georgianus), and Chinese mystery snail (Cipanguladina chinensis). Along with lake area, variables associated with calcification were the best predictors of species distributions. Even though saturation state is the most biologically mechanistic variable, it did not improve model predictions or explain more variability in species presence than its surrogates. Overall, surrogates are sufficient for species distribution modeling in these lakes that exhibit a wide range of chemical states.",
